Nombre,Nombres en mayúscula,Nombres en mayúscula %,Nombres con apellido,Nombres con apellido %,Nombres con inicial,Nombres con inicial %,Nombres en minúscula,Nombres en minúscula %
Juan,JUAN,Levenshtein (75.00%),Juan Pérez,Levenshtein (60.00%),J. Pérez,Levenshtein (87.50%),juan,Ratcliff/Obershelp (75.00%)
María,MARÍA,Levenshtein (80.00%),María Lopez,Ratcliff/Obershelp (62.50%),M. Lopez,Levenshtein (87.50%),maría,Ratcliff/Obershelp (80.00%)
Ana,ANA,Levenshtein (66.67%),Ana Gómez,Levenshtein (66.67%),A. Gómez,Levenshtein (87.50%),ana,Ratcliff/Obershelp (66.67%)
Pedro,PEDRO,Levenshtein (80.00%),Pedro Álvarez,Levenshtein (61.54%),P. Álvarez,Levenshtein (80.00%),pedro,Ratcliff/Obershelp (80.00%)
Lucía,LUCÍA,Levenshtein (80.00%),Lucía Martín,Ratcliff/Obershelp (58.82%),L. Martín,Levenshtein (77.78%),lucía,Ratcliff/Obershelp (80.00%)
Carlos,CARLOS,Levenshtein (83.33%),Carlos Sánchez,Ratcliff/Obershelp (60.00%),C. Sánchez,Levenshtein (90.00%),carlos,Ratcliff/Obershelp (83.33%)
Elena,ELENA,Levenshtein (80.00%),Elena Ruiz,Ratcliff/Obershelp (66.67%),E. Ruiz,Levenshtein (85.71%),elena,Ratcliff/Obershelp (80.00%)
Luis,LUIS,Levenshtein (75.00%),Luis Moreno,Levenshtein (63.64%),L. Moreno,Levenshtein (88.89%),luis,Ratcliff/Obershelp (75.00%)
Sofía,SOFÍA,Levenshtein (80.00%),Sofía Jiménez,Levenshtein (61.54%),S. Jiménez,Levenshtein (90.00%),sofía,Ratcliff/Obershelp (80.00%)
Miguel,MIGUEL,Levenshtein (83.33%),Miguel Navarro,Ratcliff/Obershelp (60.00%),M. Navarro,Levenshtein (90.00%),miguel,Ratcliff/Obershelp (83.33%)
Diana,DIANA,Levenshtein (80.00%),Diana Molina,Ratcliff/Obershelp (58.82%),D. Molina,Levenshtein (66.67%),diana,Ratcliff/Obershelp (80.00%)
Jorge,JORGE,Levenshtein (80.00%),Jorge Ortega,Ratcliff/Obershelp (58.82%),J. Ortega,Levenshtein (66.67%),jorge,Ratcliff/Obershelp (80.00%)
Carmen,CARMEN,Levenshtein (83.33%),Carmen Díaz,Ratcliff/Obershelp (70.59%),C. Díaz,Levenshtein (85.71%),carmen,Ratcliff/Obershelp (83.33%)
Antonio,ANTONIO,Levenshtein (85.71%),Antonio Vidal,Ratcliff/Obershelp (70.00%),A. Vidal,Levenshtein (87.50%),antonio,Ratcliff/Obershelp (85.71%)
Isabel,ISABEL,Levenshtein (83.33%),Isabel Vega,Ratcliff/Obershelp (70.59%),I. Vega,Levenshtein (71.43%),isabel,Ratcliff/Obershelp (83.33%)
